Country,Participations,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Differential,Points,Points Per Match,Best Result
Brazil,20,104,70,17,17,221,102,119,227,2.18,Winner (5 Times)
Germany,18,106,66,20,20,224,121,103,218,2.06,Winner (4 Times)
Italy,18,83,45,21,17,128,77,51,156,1.88,Winner (4 Times)
Argentina,16,77,42,14,21,131,84,47,140,1.82,Winner (2 Times)
Spain,14,59,29,12,18,92,66,26,99,1.68,Winner (1 Time)
England,14,62,26,20,16,79,56,23,98,1.58,Winner (1 Time)
France,14,59,28,12,19,106,71,35,96,1.63,Winner (1 Time)
Netherlands,10,50,27,12,11,86,48,38,93,1.86,Runner-up
Uruguay,12,51,20,12,19,80,71,9,72,1.41,Winner (2 Times)
Sweden,11,46,16,13,17,74,69,5,61,1.33,Runner-up
Russia,10,40,17,8,15,66,47,19,59,1.48,Fourth place
Serbia,11,43,17,8,18,64,59,5,59,1.37,Fourth place
Mexico,15,53,14,14,25,57,92,-35,56,1.06,Quarter-finals
Belgium,12,41,14,9,18,52,66,-14,51,1.24,Fourth place
Poland,7,31,15,5,11,44,40,4,50,1.61,Third place
Hungary,9,32,15,3,14,87,57,30,48,1.5,Runner-up
Portugal,6,26,13,4,9,43,29,14,43,1.65,Third place
Czech Republic,9,33,12,5,16,47,49,-2,41,1.24,Runner-up
Austria,7,29,12,4,13,43,47,-4,40,1.38,Third place
Chile,9,33,11,7,15,40,49,-9,40,1.21,Third place
Switzerland,10,33,11,6,16,45,59,-14,39,1.18,Quarter-finals
Paraguay,8,27,7,10,10,30,38,-8,31,1.15,Quarter-finals
United States,10,33,8,6,19,37,62,-25,30,0.91,Third place
Romania,7,21,8,5,8,30,32,-2,29,1.38,Quarter-finals
Denmark,4,16,8,2,6,27,24,3,26,1.63,Quarter-finals
South Korea,9,31,5,9,17,31,67,-36,24,0.77,Fourth place
Croatia,4,16,7,2,7,21,17,4,23,1.44,Third place
Colombia,5,18,7,2,9,26,27,-1,23,1.28,Quarter-finals
Costa Rica,4,15,5,4,6,17,23,-6,19,1.27,Quarter-finals
Scotland,8,23,4,7,12,25,41,-16,19,0.83,First round
Cameroon,7,23,4,7,12,18,43,-25,19,0.83,Quarter-finals
Nigeria,5,18,5,3,10,20,26,-6,18,1,Second round
Bulgaria,7,26,3,8,15,22,53,-31,17,0.65,Fourth place
Turkey,2,10,5,1,4,20,17,3,16,1.6,Third place
Japan,5,17,4,4,9,14,22,-8,16,0.94,Second round
Ghana,3,12,4,3,5,13,16,-3,15,1.25,Quarter-finals
Peru,4,15,4,3,8,19,31,-12,15,1,Quarter-finals
Republic of Ireland,3,13,2,8,3,10,10,0,14,1.08,Quarter-finals
Northern Ireland,3,13,3,5,5,13,23,-10,14,1.08,Quarter-finals
Ecuador,3,10,4,1,5,10,11,-1,13,1.3,Second round
Algeria,4,13,3,3,7,13,19,-6,12,0.92,Second round
Ivory Coast,3,9,3,1,5,13,14,-1,10,1.11,First round
South Africa,3,9,2,4,3,11,16,-5,10,1.11,First round
Morocco,4,13,2,4,7,12,18,-6,10,0.77,Second round
Norway,3,8,2,3,3,7,8,-1,9,1.13,Second round
Australia,4,13,2,3,8,11,26,-15,9,0.69,Second round
Senegal,1,5,2,2,1,7,6,1,8,1.6,Quarter-finals
East Germany,1,6,2,2,2,5,5,0,8,1.33,Quarter-finals
Greece,3,10,2,2,6,5,20,-15,8,0.8,Second round
Saudi Arabia,4,13,2,2,9,9,32,-23,8,0.62,Second round
Ukraine,1,5,2,1,2,5,7,-2,7,1.4,Quarter-finals
Tunisia,4,12,1,4,7,8,17,-9,7,0.58,First round
Wales,1,5,1,3,1,4,4,0,6,1.2,Quarter-finals
Iran,4,12,1,3,8,7,22,-15,6,0.5,First round
Cuba,1,3,1,1,1,5,12,-7,4,1.33,Quarter-finals
Slovakia,1,4,1,1,2,5,7,-2,4,1,Second round
Slovenia,2,6,1,1,4,5,10,-5,4,0.67,First round
North Korea,2,7,1,1,5,6,21,-15,4,0.57,Quarter-finals
Bosnia and Herzegovina,1,3,1,0,2,4,4,0,3,1,First round
Jamaica,1,3,1,0,2,3,9,-6,3,1,First round
New Zealand,2,6,0,3,3,4,14,-10,3,0.5,First round
Honduras,3,9,0,3,6,3,14,-11,3,0.33,First round
Angola,1,3,0,2,1,1,2,-1,2,0.67,First round
Israel,1,3,0,2,1,1,3,-2,2,0.67,First round
Egypt,2,4,0,2,2,3,6,-3,2,0.5,First round
Kuwait,1,3,0,1,2,2,6,-4,1,0.33,First round
Trinidad and Tobago,1,3,0,1,2,0,4,-4,1,0.33,First round
Bolivia,3,6,0,1,5,1,20,-19,1,0.17,First round
Iraq,1,3,0,0,3,1,4,-3,0,0,First round
Togo,1,3,0,0,3,1,6,-5,0,0,First round
Canada,1,3,0,0,3,0,5,-5,0,0,First round
Indonesia,1,1,0,0,1,0,6,-6,0,0,First round
United Arab Emirates,1,3,0,0,3,2,11,-9,0,0,First round
China PR,1,3,0,0,3,0,9,-9,0,0,First round
Haiti,1,3,0,0,3,2,14,-12,0,0,First round
DR Congo,1,3,0,0,3,0,14,-14,0,0,First round
El Salvador,2,6,0,0,6,1,22,-21,0,0,First round
