Player,Goals Scored,Matches Played,Goals Per Match
Miroslav Klose,16,24,0.67
Ronaldo,15,19,0.79
Gerd Müller,14,13,1.08
Just Fontaine,13,6,2.17
Pelé,12,14,0.86
Sándor Kocsis,11,5,2.2
Jürgen Klinsmann,11,17,0.65
Helmut Rahn,10,10,1
Gary Lineker,10,12,0.83
Gabriel Batistuta,10,12,0.83
Teófilo Cubillas,10,13,0.77
Thomas Müller,10,13,0.77
Grzegorz Lato,10,20,0.5
Eusébio,9,6,1.5
Christian Vieri,9,9,1
Vavá,9,10,0.9
David Villa,9,12,0.75
Paolo Rossi,9,14,0.64
Jairzinho,9,16,0.56
Roberto Baggio,9,16,0.56
Karl-Heinz Rummenigge,9,19,0.47
Uwe Seeler,9,21,0.43
Guillermo Stábile,8,4,2
Leônidas,8,5,1.6
Ademir,8,6,1.33
Óscar Míguez,8,7,1.14
Rivaldo,8,14,0.57
Rudi Völler,8,15,0.53
Diego Maradona,8,21,0.38
Oldřich Nejedlý,7,6,1.17
Lajos Tichy,7,8,0.88
Careca,7,9,0.78
Andrzej Szarmach,7,13,0.54
Johnny Rep,7,13,0.54
Hans Schäfer,7,15,0.47
Josef Hügi,6,3,2
Oleg Salenko,6,3,2
Max Morlock,6,5,1.2
Erich Probst,6,5,1.2
György Sárosi,6,5,1.2
James Rodríguez,6,5,1.2
Salvatore Schillaci,6,7,0.86
Davor Šuker,6,8,0.75
Helmut Haller,6,9,0.67
Hristo Stoichkov,6,10,0.6
Diego Forlán,6,10,0.6
Asamoah Gyan,6,11,0.55
Dennis Bergkamp,6,12,0.5
Rob Rensenbrink,6,13,0.46
Rivellino,6,15,0.4
Bebeto,6,15,0.4
Arjen Robben,6,15,0.4
Zbigniew Boniek,6,16,0.37
Thierry Henry,6,17,0.35
Wesley Sneijder,6,17,0.35
Robin van Persie,6,17,0.35
Mario Kempes,6,18,0.33
Lothar Matthäus,6,25,0.24
Pedro Cea,5,4,1.25
Silvio Piola,5,4,1.25
Gyula Zsengellér,5,4,1.25
Peter McParland,5,5,1
Tomáš Skuhravý,5,5,1
Juan Alberto Schiaffino,5,6,0.83
Geoff Hurst,5,6,0.83
Jon Dahl Tomasson,5,6,0.83
Alessandro Altobelli,5,7,0.71
Kennet Andersson,5,7,0.71
Fernando Morientes,5,7,0.71
Romário,5,8,0.62
Marc Wilmots,5,8,0.62
Tim Cahill,5,8,0.62
Luis Suárez,5,8,0.62
Valentin Ivanov,5,9,0.55
Roger Milla,5,9,0.55
Emilio Butragueño,5,9,0.55
Hans Krankl,5,10,0.5
Raúl,5,11,0.45
Gonzalo Higuaín,5,11,0.45
Garrincha,5,12,0.42
Johan Neeskens,5,12,0.42
Fernando Hierro,5,12,0.42
Zinedine Zidane,5,12,0.42
Landon Donovan,5,12,0.42
Henrik Larsson,5,13,0.38
Michel Platini,5,14,0.36
Zico,5,14,0.36
Lionel Messi,5,14,0.36
Lukas Podolski,5,15,0.33
Franz Beckenbauer,5,18,0.28
